127.0.0.1, 2022-05-28 16:48:03, GET, /, HTTP/1.1, 303, 0.001995
127.0.0.1, 2022-05-28 16:48:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.494677
127.0.0.1, 2022-05-28 16:48:04, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/default/index, HTTP/1.1, 200, 0.406912
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/css/calendar.css, HTTP/1.1, 200, 0.000996
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/js/calendar.js, HTTP/1.1, 200, 0.023936
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/js/jquery.js, HTTP/1.1, 200, 0.042887
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/js/web2py.js, HTTP/1.1, 200, 0.037899
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001996
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006981
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.005984
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.005984
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005983
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.011968
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.020941
127.0.0.1, 2022-05-28 16:48:13, GET, /admin/static/_2.22.3/images/questions.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 16:48:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001004
127.0.0.1, 2022-05-28 16:48:15, POST, /admin/default/index, HTTP/1.1, 303, 0.012966
127.0.0.1, 2022-05-28 16:48:15, GET, /admin/default/site, HTTP/1.1, 200, 0.038896
127.0.0.1, 2022-05-28 16:48:15, GET, /admin/static/_2.22.3/images/folder_locked.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 16:48:15, GET, /admin/static/_2.22.3/images/folder.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 16:48:15, GET, /admin/static/_2.22.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.005980
127.0.0.1, 2022-05-28 16:48:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 16:48:15, POST, /admin/default/check_version, HTTP/1.1, 200, 0.331616
127.0.0.1, 2022-05-28 16:48:19, POST, /admin/default/site, HTTP/1.1, 303, 0.172537
127.0.0.1, 2022-05-28 16:48:19, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.343084
127.0.0.1, 2022-05-28 16:48:19, GET, /admin/static/_2.22.3/images/search.png, HTTP/1.1, 200, 0.001995
127.0.0.1, 2022-05-28 16:48:19, GET, /admin/static/_2.22.3/images/help.png, HTTP/1.1, 200, 0.000996
127.0.0.1, 2022-05-28 16:48:19, GET, /admin/static/_2.22.3/images/delete_icon.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 16:48:19, GET, /admin/static/_2.22.3/images/test_icon.png, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 16:48:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 16:48:27, GET, /admin/default/site, HTTP/1.1, 200, 0.026943
